Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
truth,com.google.common.truth,SubjectTest,hashCodeThrowsUSOE,10,1,0,688,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,oneShotIterable,12,1,1,699,0,,
truth,com.google.common.truth,SubjectTest,iterator,3,1,0,703,0,,
truth,com.google.common.truth,SubjectTest,toString,3,1,0,708,0,,
truth,com.google.common.truth,SubjectTest,disambiguationWithSameToString_autovalue,12,1,0,724,1,com.google.common.truth.Subject,com.google.common.truth.Subject
truth,com.google.common.truth,SubjectTest,disambiguationWithSameToString_immutableSets,12,1,0,741,1,,
truth,com.google.common.truth,CustomFailureMessageTest,hasFailureMessage,5,1,0,36,1,com.google.common.truth.Truth,com.google.common.truth.Truth
truth,com.google.common.truth,CustomFailureMessageTest,assertWithMessageIsPrepended,10,1,0,43,1,,
truth,com.google.common.truth,CustomFailureMessageTest,assertWithMessageIsPrependedWithNamed,10,1,0,54,1,,
truth,com.google.common.truth,CustomFailureMessageTest,assertWithMessageThat,9,1,0,66,1,,
truth,com.google.common.truth,CustomFailureMessageTest,customMessageIsPrepended,10,1,0,78,1,com.google.common.truth.Truth,com.google.common.truth.Truth
truth,com.google.common.truth,CustomFailureMessageTest,customMessageIsPrependedWithNamed,10,1,0,89,1,com.google.common.truth.Truth,com.google.common.truth.Truth
truth,com.google.common.truth,CustomFailureMessageTest,customMessage,9,1,0,101,1,com.google.common.truth.BooleanSubject,com.google.common.truth.BooleanSubject; com.google.common.truth.Truth
truth,com.google.common.truth,CustomFailureMessageTest,countPlaceholders,15,1,0,113,1,,
truth,com.google.common.truth,CustomFailureMessageTest,assertWithMessageIsPrepended_withPlaceholders,10,1,0,130,1,,
truth,com.google.common.truth,CustomFailureMessageTest,assertWithMessageIsPrependedWithNamed_withPlaceholders,10,1,0,141,1,,
truth,com.google.common.truth,CustomFailureMessageTest,assertWithMessageThat_withPlaceholders,9,1,0,153,1,,
truth,com.google.common.truth,CustomFailureMessageTest,customMessageIsPrepended_withPlaceholders,10,1,0,165,1,com.google.common.truth.Truth,com.google.common.truth.Truth
truth,com.google.common.truth,CustomFailureMessageTest,customMessageIsPrependedWithNamed_withPlaceholders,10,1,0,176,1,com.google.common.truth.Truth,com.google.common.truth.Truth
truth,com.google.common.truth,CustomFailureMessageTest,customMessage_withPlaceholders,9,1,0,192,1,com.google.common.truth.Truth,com.google.common.truth.Truth
truth,com.google.common.truth,CustomFailureMessageTest,extraPlaceholderThrowsIae,8,1,0,204,1,com.google.common.truth.Truth,com.google.common.truth.Truth
truth,com.google.common.truth,CustomFailureMessageTest,missingPlaceholderThrowsIae,8,1,0,213,1,com.google.common.truth.Truth,com.google.common.truth.Truth
truth,com.google.common.truth,CustomFailureMessageTest,noPlaceholdersWithArgsThrowsIae,8,1,0,222,1,com.google.common.truth.Truth,com.google.common.truth.Truth
truth,com.google.common.truth,CustomFailureMessageTest,placeholdersArentEagerlyEvaluated,10,1,0,231,1,com.google.common.truth.Truth,com.google.common.truth.Truth
